1,0,A11M3WJ9A9KH6A,0,A1PX8UYPRGZCO9,0,A2D7UUUB14YFBG,1,0.586206912994,0.555555582047,0.13356167078,0.105409257114
2,0,A1PX8UYPRGZCO9,0,A3M2JHNZ7X8BOC,0,A33OU5A8X59KS6,0,0.442307710648,0.30860671401,0.185653984547,0.207390338182
3,0,A36YQJLJPUBMWS,0,A1PX8UYPRGZCO9,0,AS52W5HOMKHLU,0,0.340425550938,0.462910056114,1,1
4,0,AOCJFXTIP7H3A,0,A3M34FQ1OVNWPG,0,A2AU1R4ZU1ZJ1A,0,0.45454543829,0.474341630936,0.269953072071,0.27500000596
5,1,AS52W5HOMKHLU,1,A3OVORVFL0XDTW,1,A3EGTD5X91JG0H,1,0.645161271095,0.816496551037,0.468646883965,0.500693976879
6,0,A2CGWHQ96BMD4R,0,AWAFCJJRHVAJJ,0,A8973OC7HM3Y6,0,0.468085110188,0.377964496613,0.262886583805,0.126773133874
7,1,A356E3RU75EGT1,1,A2AU1R4ZU1ZJ1A,1,AWAFCJJRHVAJJ,0,0.616666674614,0.559017002583,0.0947712659836,0.276078790426
8,0,A8973OC7HM3Y6,0,AS52W5HOMKHLU,0,A1PX8UYPRGZCO9,0,0.535714268684,0.408248275518,0.134948074818,0.105409257114
9,0,ANKWF7RC5KIMN,1,A2YTQZXX709TKL,0,A2SKWBR49HEXFY,0,0.306122422218,0.534522473812,1,1
10,0,A32U6TE5GJV6FS,0,A2RD52WSOW2N9V,0,A2AU1R4ZU1ZJ1A,0,0.363636374474,0.547722518444,0.0630841255188,0.0674199908972
11,0,A3HB574VTU7ZFQ,0,AWAFCJJRHVAJJ,0,A119EX2L0DNN1B,0,0.474576294422,0.534522473812,0.366255164146,0.533396422863
12,0,A2AU1R4ZU1ZJ1A,0,A8973OC7HM3Y6,0,A2D7UUUB14YFBG,1,0.527272701263,0.61721342802,0.123287677765,0.251976311207
13,0,A2AU1R4ZU1ZJ1A,1,A1K96S33FDRUJW,0,A2DFJ0VQEAK30O,1,0.53947365284,0.534522473812,0.171875,0.427008390427
